All,הכל
"Cannot delete backup","לא ניתן למחוק גיבוי"
"File does not exist","הקובץ אינו קיים"
"System Reports","דו""חות מערכת"
"[%1 minutes ago]","[לפני %1 דקות]"
"[%1 hours ago]","[לפני %1 שעות]"
"[%1 weeks ago]","[לפני %1 שבועות]"
"Entity Types","סוגי הישות"
Model,דגם
"Main Table","טבלה ראשית"
"Run Method","שיטת ריצה"
"Group Code","קוד קבוצה"
"Cron Schedules List","רשימת לוחות זמנים Cron"
Parent,אב
"Event Name","שם האירוע"
"All Global events","כל האירועים הגלובלים"
"All REST Events","כל אירועי REST"
"All SOAP Events","כל אירועי SOAP"
"Custom Global Events","אירועים גלובליים מותאמים אישית"
"Custom REST Events","אירועים REST מותאמים אישית"
"Custom SOAP Events","אירועים SOAP מותאמים אישית"
"Today's Top Debug Messages","הבאגים העיקריים של היום"
"Last Occurrence","התרחשות אחרונה"
"Today's Top Exception Messages","ההודעות החריגים היומיות"
"Stack Trace","מעקב ערמות"
"Today's Top System Messages","הודעות המערכת הראשיות היומיות"
"Store Views List","רשימת מבטי חנות"
"Test error","שגיאת בדיקה"
"Error message!","הודעת שגיאה!"
"Delete ""%1""","מחק ""%1"""
Top,עליון
"Update Product Preview Image","עדכן תמונה תצוגה מקדימה של מוצר"
"Filtering by this attribute will update the product image on catalog page","סינון לפי תכונה זו תעדכן את תמונת המוצר בדף הקטלוג"
"Use Product Image for Swatch if Possible","השתמש בתמונת מוצר עבור הדוגמית במידת האפשר"
"Allows use fallback logic for replacing swatch image with product swatch or base image","מאפשר שימוש בלוגיקת כישלון עבור החלפת תמונת הדוגמית עם דוגמית המוצר או עם תמונת הבסיס"
"Visual Swatch","דוגמית ויזואלית"
"Text Swatch","דוגמית טקסטואלית"
"Manage Swatch (Values of Your Attribute)","ניהול דוגמיות (הערכים של התכונה שלך)"
"Add Swatch","הוסף דוגמית"
Swatch,דוגמית
"Choose a color","בחר צבע"
"Upload a file","העלאת קובץ"
"Select from the following attribute values for this product. Each unique combination of values creates a unique product SKU.","בחר מתוך ערכי התכונה הבאים עבור מוצר זה. כל שילוב ייחודי של ערכים יוצר מוצר עם מק""ט ייחודי."
"Swatches per Product","דוגמיות לכל מוצר"
"Related Products Rule","כלל מוצרים מקושרים"
"Products to Display","מוצרים להצגה"
"Product Match Conditions (leave blank for matching all products)","תנאי התאמה למוצר (השאר ריק על מנת להתאים את כל המוצרים)"
"Products to Match","מוצרים בהתאמה"
"General Rule Information","מידע כללי על הכלל"
"Result Limit","מגבלת תוצאה"
"Maximum number of products this rule can apply to (up to 20).","מספר מקסימלי של מוצרים שכלל זה יכול להכיל (עד 20)."
"New Related Products Rule","כלל מוצרים מקושרים חדש"
"We can't save the product rule right now.","אנחנו לא יכולים לשמור את כלל המוצר ברגע זה."
"Matched Product %1","מוצרים תואמים %1"
more,עוד
"Product Price is %1 %2% of Matched Product(s) Price","מחיר המוצר הוא %1% %2 ממחיר המוצרים התואמים"
"Show Related Products","הצג מוצרים נלווים"
"Show Cross-Sell Products","הצגת מוצרים מצולבים"
"Tax Rate Information","פרטי שיעור המס"
"Tax Identifier","מזהה מס"
"Zip/Post is Range","מיקוד הוא בטווח"
"Zip/Post Code","מספר מיקוד"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","' *'-מתאים כל; 'אבג *' - מתאים אף שלא מתחילה ב- 'אבג' ולא יותר מ %1."
"Range From","טווח בין"
"Range To","טווח ל"
State,איזור
"Rate Percent","אחוז דירוג"
"Tax Titles","כותרות מס"
"Add New Tax Rate","להוסיף שיעור מס חדש"
"Save Rate","שמירת שער"
"Manage Tax Rules","ניהול כללי המס"
"Add New Tax Rule","הוספת חוק מס חדש"
"Save Rule","שמירת חוק"
"Tax Rule Information","פרטי כללהמס"
"Tax Rate","שיעור מס"
"Tax Zones and Rates","איזורי מס ותעריפים"
"We can't delete this tax rate right now.","לא ניתן למחוק את שיעור המס הזה עכשיו."
"We can't delete this rate because of an incorrect rate ID.","אנחנו לא יכולים למחוק ציון זה עקב מזהה ID שגוי."
"Edit Tax Rate","לערוך שיעורי מס"
"New Tax Rule","חוק מס חדש"
"We can't save this tax rule right now.","אנחנו לא יכולים לשמור את כלל מס זה עכשיו."
"We can't delete this tax class right now.","לא ניתן למחוק את מחלקת המס הזה עכשיו."
"We can't save this tax class right now.","אנחנו לא יכולים לשמור את מחלקת המס ברגע זה."
"After Discount","לאחר הנחה"
"customer group","קבוצת לקוחות"
product,מוצר
"Excl. tax:","למעט מס:"
"Apply Discount On Prices","החל הנחה על מחירים"
"Apply Tax On","החלת מס על"
"Default Post Code","מיקוד ברירת מחדל"
"Price Display Settings","הגדרות תצוגת מחיר"
"Display Product Prices In Catalog","הצגת מחירי המוצרים בקטלוג"
"Display Shipping Prices","תצוגת מחירי משלוח"
"Shopping Cart Display Settings","הגדרות תצוגת עגלת קניות"
"Display Prices","הצגת מחירים"
"Display Subtotal","הצגת ביניים"
State/Region,אזור/מדינה
"Subtotal Only","סכום ביניים בלבד"
"(Excl. Tax)","(למעט מס)"
"(Incl. Tax)","(כולל מס)"
"Order Total Excl. Tax","סה""כ הזמנה ללא מס"
"Order Total Incl. Tax","סה""כ הזמנה כולל מס"
"Import and Export Tax Rates","שיעורי מס של ייצוא וייבוא"
"The tax rate has been imported.","שיעור המס יובא."
"Invalid file upload attempt","ניסיון להעלות קבצים לא חוקיים"
"Invalid file upload attempt.","ניסיון להעלות קבצים לא חוקיים."
"Invalid file format.","פורמט קובץ לא חוקי."
"Import Tax Rates","ייבוא שיעורי מס"
"Export Tax Rates","יצוא שיעורי מס"
"Import/Export Tax Rates","ייבוא/ייצוא שיעורי מס"
"Save and Continue","שמור והמשך"
"Save Configuration","שמור הגדרות"
Themes,תבניות
"Are you sure you want to delete this theme?","האם אתה בטוח שברצונך למחוק תבנית זו?"
"Theme: %1","תבנית: %1"
"Theme CSS","CSS של התבנית"
"Theme CSS Assets","נכסי CSS של התבנית"
"Custom CSS","CSS מותאם אישית"
"Select CSS File to Upload","בחר קובץ CSS להעלאה"
"Upload CSS File","העלאת קובץ CSS"
"Download CSS File","הורדת קובץ CSS"
"Upload Images","העלאת תמונות"
"Images Assets","נכסי תמונות"
"Upload Fonts","העלאת גופנים"
"Fonts Assets","נכסי גופנים"
"Edit custom.css","ערוך custom.css"
"Allowed file types *.css.","אפשר סוגי קבצים *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","קובץ זה יחליף את קובץ ה-custom.css הנוכחי ואינו יכול להיות יותר מ-2MB."
"Max file size to upload %1M","גודל קובץ מרבי להעלאה %1M"
"Something is wrong with the file upload settings.","משהו לא בסדר עם הגדרות העלאת קובץ."
"CSS Editor","עורך CSS"
"Theme Settings","הגדרות תבנית"
"Parent Theme","תבנית אב"
"Theme Path","נתיב התבנית"
"Theme Title","כותרת התבנית"
"Theme Preview Image","תמונה תצוגה מקדימה של התבנית"
"Copy of %1","עותק של %1"
"Max image size %1M","גודל תמונה מרבי %1M"
"Theme JavaScript","JavaScript של הבנית"
"Select JS Files to Upload","בחר קובץ JS להעלאה"
"Upload JS Files","העלאת קבצי JS"
"JS Editor","עורך JS"
"Allowed file types *.js.","אפשר סוגי קבצים *.js."
"Create Folder","צור תיקייה"
"Insert File","הכנס קובץ"
welcome,"ברוך הבא"
"Design Configuration","הגדרות תצורת עיצוב"
"We can't find file.","לא ניתן למצוא את הקובץ."
"We can't upload the CSS file right now.","לא ניתן להעלות את קובץ ה-CSS כעת."
"We can't upload the JS file right now.","לא ניתן להעלות את קובץ ה-JS כעת."
"Sorry, something went wrong. That's all we know.","מצטערים, משהו השתמש. אין מידע נוסף כרגע."
"Invalid type","סוג לא חוקי"
"The start date can't follow the end date.","תאריך ההתחלה אינו יכול להיות אחרי תאריך הסיום."
"Theme isn't deletable.","ערכת הנושא אינה ניתנת למחיקה."
Phrase,ביטוי
"Browse Files","סרוק קבצים"
Scope:,טווח:
"%1 Item(s)","%1 פריט/ים"
Page,עמוד
"We don't recognize this file extension.","אנחנו לא מזהים את סיומת הקובץ."
